"id_doc","type","name","place","date","link"
841,"Photography","Marcel Duchamp with Alexina Duchamp, Richard Hamilton, Walter Hopps, Bill Copley, Betty Asher, and others","Duchamp Archives","1963/-/-","https://www.duchamparchives.org/pma/archive/component/MDE_B017_F001_098"
842,"Photography","Marcel Duchamp, Hans Richter and Max Ernst","Duchamp Archives","1953/-/-","https://www.duchamparchives.org/pma/archive/component/MDP_B031_F003_13-1972-9-368"
843,"Photography","Katherine Dreier, Eugène Duchamp, Lucie Duchamp, et Magdeleine Duchamp","Duchamp Archives","1919/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_AlbumFam_no.094"
844,"Photography","Marcel Duchamp, Sidney Janis, and Alfred Barr judging Bel Ami competition","Duchamp Archives","1946/-/-","https://www.duchamparchives.org/pma/archive/component/MDE_B017_F001_081"
845,"Photography","Louise Arensberg, Gabrielle Buffet-Picabia, Beatrice Wood[?], Henri Pierre Roche, and Allen Norton","Duchamp Archives","1917/-/-","https://www.duchamparchives.org/pma/archive/component/WLA_B050_F010_001"
846,"Photography","Marcel Duchamp, Alexina Duchamp, et Tristan Tzara","Duchamp Archives","1962/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_MDBoiteMoyenne2_no.052"
847,"Photography","Juliet Man Ray, Jacqueline Matisse Monnier, Bernard Monnier, Alexina Duchamp, Marcel Duchamp, et le conducteur de bateau","Duchamp Archives","1960/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_MDPortraits3_no.126"
848,"Photography","Marcel Duchamp, Katherine Dreier et Vassily Kandinsky sur le quai de la gare à Dessau (mai-1929)","Duchamp Archives","1929/-/-","https://www.duchamparchives.org/cp/archive/component/FRM5050-X0031151190"
849,"Photography","Marcel Duchamp, Yvonne Duvernoy, Clémence Lebourg, Lucie Duchamp, Magdeleine Duchamp, Madame L'Huillier, Suzanne Duchamp","Duchamp Archives","1895/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_MDPortraits1_no.006"
850,"Photography","Marcel Duchamp with Naum Gabo at Hans Richter's home","Duchamp Archives","1952/-/-","https://www.duchamparchives.org/pma/archive/component/MDP_B031_F002_13-1972-9-300"
